date,old_dem_win_prob,new_dem_win_prob,old_dem_2p_vote_share,new_dem_2p_vote_share
4/23/2022,0.7452,0.6736,0.5225581,0.5159223
4/24/2022,0.746,0.6704,0.5226963,0.5157951
4/25/2022,0.746,0.6772,0.5227124,0.51592
4/26/2022,0.7465,0.6715,0.5227459,0.5157919
4/27/2022,0.7349,0.6722,0.522387,0.5157083
4/28/2022,0.7398,0.6676,0.5223153,0.5156751
4/29/2022,0.7401,0.6688,0.5222794,0.515534
4/30/2022,0.7416,0.6693,0.5223399,0.515646
5/1/2022,0.7414,0.6681,0.5222984,0.5155854
5/2/2022,0.7402,0.6751,0.5220184,0.5155376
5/3/2022,0.7402,0.6729,0.5220808,0.5155961
5/4/2022,0.7552,0.6876,0.5240886,0.5175487
5/5/2022,0.7609,0.6894,0.5240825,0.5177291
5/6/2022,0.7615,0.6965,0.5246778,0.5176973
5/7/2022,0.7644,0.6917,0.5246522,0.5176405
5/8/2022,0.7617,0.6901,0.5246605,0.5178095
5/9/2022,0.764,0.6929,0.5245483,0.5175289
5/10/2022,0.7563,0.6979,0.5242748,0.5176176
5/11/2022,0.7549,0.6876,0.5239801,0.5176076
5/12/2022,0.7632,0.6951,0.5240649,0.5176181
5/13/2022,0.762,0.6937,0.5240864,0.5176394
5/14/2022,0.7593,0.693,0.5244557,0.5176481
5/15/2022,0.7612,0.7027,0.5242731,0.5178861
5/16/2022,0.7634,0.6974,0.5240086,0.5179889
5/17/2022,0.7869,0.6945,0.5248136,0.5175313
5/18/2022,0.7866,0.6945,0.5247274,0.51746
5/19/2022,0.7846,0.6954,0.5245673,0.5173555
5/20/2022,0.7816,0.6867,0.5244638,0.5171786
5/21/2022,0.7752,0.6873,0.5232539,0.5170585
5/22/2022,0.7728,0.6932,0.5232075,0.5170457
5/23/2022,0.7727,0.6885,0.5232285,0.5171837
5/24/2022,0.772,0.6922,0.5232672,0.517296
5/25/2022,0.7725,0.6872,0.5232943,0.5171939
5/26/2022,0.7719,0.6842,0.5231392,0.5168136
5/27/2022,0.7651,0.6915,0.5227337,0.517187
5/28/2022,0.7665,0.6825,0.5228132,0.5169637
5/29/2022,0.7678,0.6856,0.5229969,0.5169879
5/30/2022,0.764,0.6851,0.5226563,0.5170507
5/31/2022,0.7671,0.6877,0.522614,0.5169626
6/1/2022,0.7717,0.6882,0.5229361,0.5173956
6/2/2022,0.7641,0.6861,0.5227784,0.5172998
6/3/2022,0.7641,0.6937,0.522617,0.5172261
6/4/2022,0.7656,0.6844,0.5225826,0.517343
6/5/2022,0.7697,0.6842,0.522722,0.5171478
6/6/2022,0.7677,0.6835,0.5225028,0.5169063
6/7/2022,0.7542,0.6863,0.5219491,0.5169683
