date,new_dem_control_prob,old_dem_control_prob,new_dem_2p_vote_share,old_dem_2p_vote_share
4/23/2022,0.0487,0.1815,0.484384065,0.492409375
4/24/2022,0.0496,0.1794,0.48452438,0.492389389
4/25/2022,0.049,0.1851,0.484367726,0.492570624
4/26/2022,0.0517,0.1827,0.484280776,0.492535341
4/27/2022,0.0507,0.1682,0.484164888,0.492077986
4/28/2022,0.0445,0.1715,0.483957289,0.4919973
4/29/2022,0.046,0.17,0.483797846,0.491816242
4/30/2022,0.0466,0.1753,0.484144656,0.491851504
5/1/2022,0.0434,0.1735,0.483954862,0.492006875
5/2/2022,0.0455,0.1677,0.48394831,0.49155737
5/3/2022,0.0477,0.1692,0.484040093,0.491589085
5/4/2022,0.0621,0.2162,0.486590449,0.494550231
5/5/2022,0.0635,0.2083,0.486832605,0.494428986
5/6/2022,0.0634,0.2285,0.48671926,0.495145645
5/7/2022,0.0588,0.2225,0.486772639,0.495170748
5/8/2022,0.0669,0.2339,0.486863563,0.495323101
5/9/2022,0.0601,0.2206,0.486574388,0.494957481
5/10/2022,0.0614,0.2214,0.486622292,0.494951538
5/11/2022,0.0614,0.2135,0.486659238,0.494489211
5/12/2022,0.0638,0.2073,0.486731623,0.494405683
5/13/2022,0.0588,0.2095,0.486685873,0.494369951
5/14/2022,0.0612,0.2207,0.486656378,0.494906525
5/15/2022,0.0665,0.2202,0.486943118,0.494777004
5/16/2022,0.0682,0.2105,0.486852451,0.494334523
5/17/2022,0.0605,0.2086,0.486644967,0.494214873
5/18/2022,0.0568,0.1976,0.486394754,0.493801992
5/19/2022,0.0578,0.1879,0.486433822,0.493696592
5/20/2022,0.0548,0.1901,0.486124136,0.493574908
5/21/2022,0.0534,0.1548,0.486051306,0.491875092
5/22/2022,0.0551,0.1508,0.486067142,0.49169411
5/23/2022,0.0496,0.1587,0.486115659,0.491872967
5/24/2022,0.0526,0.1558,0.486221669,0.491950773
5/25/2022,0.0534,0.1602,0.486095018,0.491893696
5/26/2022,0.0517,0.1567,0.485627931,0.492012754
5/27/2022,0.0549,0.1475,0.486057552,0.491231262
5/28/2022,0.0516,0.1505,0.485852854,0.491339222
5/29/2022,0.0507,0.1464,0.486038308,0.491418334
5/30/2022,0.0532,0.1508,0.485962518,0.491319821
5/31/2022,0.0551,0.1483,0.486022455,0.49115772
6/1/2022,0.0583,0.148,0.486310904,0.491379743
6/2/2022,0.0544,0.1463,0.486279476,0.491334564
6/3/2022,0.0549,0.1486,0.486175554,0.490887955
6/4/2022,0.0577,0.145,0.486170805,0.491056733
6/5/2022,0.0552,0.1459,0.486091215,0.49115485
6/6/2022,0.0562,0.1429,0.485801148,0.490729876
6/7/2022,0.0509,0.1364,0.48579508,0.49011398
6/8/2022,0.042,0.1176,0.485124847,0.489241366
6/9/2022,0.0483,0.1142,0.485451982,0.489313496
6/10/2022,0.044,0.121,0.484935809,0.489322452
6/11/2022,0.0392,0.1158,0.484830132,0.48899969
6/12/2022,0.045,0.118,0.485089766,0.489353545
6/13/2022,0.0435,0.1174,0.484871344,0.489376481
6/14/2022,0.0436,0.1138,0.485031728,0.488834868
6/15/2022,0.0406,0.0979,0.484639959,0.488534339
6/16/2022,0.0408,0.1007,0.484657728,0.488735281
6/17/2022,0.0426,0.1046,0.484763375,0.488650376
6/18/2022,0.0388,0.0999,0.48468943,0.488494407
6/19/2022,0.0338,0.0992,0.484541229,0.48848393
6/20/2022,0.0392,0.0993,0.484498719,0.488410311
6/21/2022,0.0383,0.1015,0.484647094,0.48846733
6/22/2022,0.0396,0.1004,0.484605659,0.488567838
6/23/2022,0.0349,0.097,0.484140622,0.488063152
6/24/2022,0.0381,0.0941,0.484125908,0.487988537
6/25/2022,0.0366,0.0952,0.484451286,0.488163309
6/26/2022,0.039,0.0974,0.484693269,0.488417155
6/27/2022,0.0365,0.1008,0.484715872,0.488340244
6/28/2022,0.0376,0.0944,0.484413963,0.487998758
6/29/2022,0.0641,0.1439,0.488101094,0.491711148
6/30/2022,0.0611,0.1435,0.487749511,0.491543344
7/1/2022,0.0612,0.1386,0.487832952,0.491322627
7/2/2022,0.0613,0.1485,0.487679865,0.491628259
7/3/2022,0.0613,0.1441,0.487948509,0.491658139
7/4/2022,0.0624,0.1475,0.488164108,0.491899407
7/5/2022,0.0624,0.1466,0.488085997,0.491614049
7/6/2022,0.0586,0.1432,0.4878484,0.491596939
7/7/2022,0.0599,0.1381,0.487731416,0.491378826
7/8/2022,0.0594,0.1471,0.487739411,0.491575239
