date,new_dem_control_prob,old_control_prob,new_dem_seats,avg_seats
4/23/2022,0.3233,0.4428,48.727,49.2524
4/24/2022,0.3251,0.4418,48.7317,49.2601
4/25/2022,0.3284,0.447,48.745,49.2732
4/26/2022,0.3238,0.4432,48.7242,49.2717
4/27/2022,0.3229,0.4403,48.7168,49.2372
4/28/2022,0.3153,0.4381,48.7002,49.2212
4/29/2022,0.3147,0.4389,48.7021,49.2327
4/30/2022,0.3209,0.4402,48.7099,49.23
5/1/2022,0.323,0.4421,48.6999,49.2494
5/2/2022,0.3261,0.4353,48.6997,49.2209
5/3/2022,0.3275,0.4379,48.7189,49.2113
5/4/2022,0.3515,0.4723,48.8586,49.3987
5/5/2022,0.3514,0.4731,48.8694,49.396
5/6/2022,0.3541,0.4797,48.8733,49.4265
5/7/2022,0.3506,0.4809,48.858,49.439
5/8/2022,0.359,0.484,48.8795,49.4336
5/9/2022,0.3519,0.4801,48.8567,49.426
5/10/2022,0.3508,0.478,48.8623,49.4241
5/11/2022,0.3546,0.4747,48.8709,49.3964
5/12/2022,0.3497,0.4749,48.8741,49.39
5/13/2022,0.3477,0.472,48.8586,49.4023
5/14/2022,0.3506,0.4722,48.8595,49.4025
5/15/2022,0.3616,0.4797,48.9066,49.3988
5/16/2022,0.3625,0.4639,48.8835,49.3602
5/17/2022,0.3578,0.4767,48.8815,49.4034
5/18/2022,0.3463,0.4662,48.8551,49.365
5/19/2022,0.352,0.4626,48.8655,49.3623
5/20/2022,0.3415,0.4595,48.8268,49.3429
5/21/2022,0.3464,0.4335,48.8284,49.2442
5/22/2022,0.3474,0.4409,48.8447,49.237
5/23/2022,0.3427,0.4307,48.8314,49.242
5/24/2022,0.3514,0.4465,48.8525,49.2481
5/25/2022,0.3476,0.4406,48.8409,49.2497
5/26/2022,0.3367,0.4391,48.811,49.2416
5/27/2022,0.3494,0.429,48.8245,49.2014
5/28/2022,0.3396,0.4481,48.8169,49.2522
5/29/2022,0.3458,0.4451,48.85,49.2634
5/30/2022,0.3471,0.4432,48.8366,49.2509
5/31/2022,0.3416,0.4486,48.8389,49.2616
6/1/2022,0.3452,0.4456,48.8377,49.2772
6/2/2022,0.3514,0.4463,48.8403,49.2495
6/3/2022,0.3483,0.4463,48.8288,49.2469
6/4/2022,0.3468,0.4394,48.8363,49.247
6/5/2022,0.3475,0.4461,48.8479,49.2766
6/6/2022,0.3436,0.4364,48.8279,49.2283
6/7/2022,0.3405,0.4284,48.8126,49.1818
6/8/2022,0.3343,0.424,48.7864,49.1371
6/9/2022,0.3357,0.4178,48.7975,49.1437
6/10/2022,0.3328,0.4211,48.7748,49.1495
6/11/2022,0.33,0.4196,48.7669,49.12
6/12/2022,0.3342,0.4271,48.7723,49.1619
6/13/2022,0.334,0.4261,48.7702,49.1646
6/14/2022,0.3423,0.4264,48.7976,49.1601
6/15/2022,0.3322,0.4142,48.7765,49.1295
6/16/2022,0.3323,0.4195,48.7749,49.1453
6/17/2022,0.341,0.4189,48.7863,49.1274
6/18/2022,0.338,0.4104,48.796,49.1321
6/19/2022,0.3383,0.4201,48.7859,49.1312
6/20/2022,0.3304,0.4274,48.7598,49.1671
6/21/2022,0.3341,0.4225,48.7829,49.1418
6/22/2022,0.3371,0.4255,48.7758,49.1619
6/23/2022,0.3265,0.4156,48.7526,49.1057
6/24/2022,0.3309,0.4107,48.766,49.0944
6/25/2022,0.3423,0.4093,48.793,49.109
6/26/2022,0.3411,0.4189,48.8111,49.1406
6/27/2022,0.3408,0.4191,48.8146,49.1333
6/28/2022,0.3375,0.4386,48.8018,49.1973
6/29/2022,0.3911,0.4865,49.0451,49.4174
6/30/2022,0.3819,0.4827,49.028,49.409
7/1/2022,0.3975,0.4775,49.0558,49.3932
7/2/2022,0.3876,0.4827,49.0204,49.4153
7/3/2022,0.4018,0.4857,49.0654,49.4181
7/4/2022,0.3954,0.4943,49.0567,49.4589
7/5/2022,0.4032,0.4851,49.0718,49.4367
7/6/2022,0.3944,0.4906,49.0523,49.4389
7/7/2022,0.3902,0.4791,49.0514,49.4087
7/8/2022,0.3852,0.484,49.0302,49.4127
7/9/2022,0.3897,0.4804,49.0394,49.3964
7/10/2022,0.395,0.4768,49.0553,49.3827
7/11/2022,0.4027,0.4572,49.0713,49.3148
7/12/2022,0.3971,0.4657,49.0682,49.3304
